"id","valence","pixel_fraction","score","color_int"
561,81,0.00370252830907702,0.000989117193967104,5837590
561,81,0.0263408441096544,0.0527287051081657,12765824
561,81,0.0586057342588902,0.074352502822876,14926399
561,81,0.0369194969534874,0.148502737283707,15263353
561,81,0.0614619702100754,0.198284447193146,13684326
561,81,0.0119538772851229,0.00769679248332977,5003030
561,81,0.0222151689231396,0.0542126521468163,15459935
561,81,0.0358616299927235,0.0714713558554649,13880902
561,81,0.0121654504910111,0.00978777557611465,2635541
561,81,0.0427377559244633,0.0906880050897598,14467676
562,92,0.0154245691373944,0.0582660026848316,9675613
562,92,0.0405288413167,0.015562835149467,2701076
562,92,0.0264421179890633,0.00500355148687959,14477798
562,92,0.0103879747912288,0.0579322502017021,9870393
562,92,0.00708271050825715,0.0393597297370434,12229149
562,92,0.0201463755220175,0.0743863210082054,9139994
562,92,0.0591799803078175,0.00943604204803705,922122
562,92,0.0128275752067566,0.00349483359605074,12227483
562,92,0.0121193043887615,0.0863162204623222,7896605
562,92,0.0232942476868629,0.0749239921569824,6978612
563,92,0.0064529781229794,0.0136823803186417,14378639
563,92,0.00825134851038456,0.00990241020917892,15118203
563,92,0.024013539776206,0.066473551094532,3845338
563,92,0.0251771919429302,0.0240730661898851,4750000
563,92,0.0265524163842201,0.0098326439037919,2580571
563,92,0.0138580342754722,0.0587025247514248,15592277
563,92,0.0185126420110464,0.0160200074315071,13387581
563,92,0.0285623613744974,0.0198802836239338,15413797
563,92,0.00930921360850334,0.0101414509117603,13419169
563,92,0.00878028105944395,0.0115948803722858,14861158
564,15,0.038995124399662,0.0695943385362625,4795436
564,15,0.0701787248253822,0.0864741206169128,13350820
564,15,0.0917385295033455,0.125312402844429,10852752
564,15,0.0989251360297203,0.133307099342346,8484205
564,15,0.122422195971012,0.195265039801598,11180679
564,15,0.00818647630512714,0.00561010558158159,8860946
564,15,0.0508686415851116,0.0654422789812088,6378832
564,15,0.0224346965551376,0.0494991987943649,2757140
564,15,0.000562429719138891,0.00416529830545187,14307849
564,15,0.00424946891143918,0.0010780836455524,11100693
565,32,0.0222106985747814,0.0308073945343494,9337430
565,32,0.155647739768028,0.0487574078142643,7819032
565,32,0.0686198249459267,0.0363429896533489,7558690
565,32,0.0359519496560097,0.0193170495331287,9660192
565,32,0.138276726007462,0.214634925127029,9795137
565,32,0.0460634343326092,0.126882717013359,11443318
565,32,0.0245441198348999,0.110083557665348,13549209
565,32,0.0407052114605904,0.0599111393094063,9858357
565,32,0.0222106985747814,0.118360057473183,13744516
565,32,0.0837438404560089,0.183442875742912,11769697
566,69,0.018810149282217,0.0679144263267517,11505807
566,69,0.537682771682739,0.0564045645296574,9597287
566,69,0.0764904394745827,0.225121363997459,12238264
566,69,0.0462442189455032,0.123722597956657,9597553
566,69,0.0298087745904922,0.0993467792868614,8812916
566,69,0.00687414081767201,0.0275880638509989,11048583
566,69,0.105174355208874,0.309060484170914,10787993
566,69,0.00724909408017993,0.0228559151291847,9074537
566,69,0.00262467190623283,0.012889732606709,11848642
566,69,0.152543425559998,0.0154276369139552,8149072
567,38,0.0438340865075588,0.03215142339468,4469787
567,38,0.0613801218569279,0.0418640337884426,6377266
567,38,0.00930001866072416,0.0111689288169146,12149828
567,38,0.21142041683197,0.366704493761063,14075273
567,38,0.0431520864367485,0.0284369774162769,8614739
567,38,0.0324880667030811,0.0299914702773094,11312759
567,38,0.0698741376399994,0.106332391500473,11771237
567,38,0.028086056932807,0.037368431687355,13616281
567,38,0.0269080530852079,0.045714158564806,9336131
567,38,0.0672701373696327,0.152384728193283,15917734
568,81,0.0108135510236025,0.0271986182779074,15302673
568,81,0.0119962831959128,0.0222270265221596,6661816
568,81,0.0122497258707881,0.0205115303397179,13257021
568,81,0.0097152991220355,0.0164782125502825,11951451
568,81,0.0114049166440964,0.0102680576965213,14402696
568,81,0.00811016280204058,0.0111316069960594,15659911
568,81,0.00946185644716024,0.028076222166419,10406594
568,81,0.00996874179691076,0.0243651531636715,9084344
568,81,0.015375517308712,0.0409422591328621,13912863
568,81,0.00963081885129213,0.0168828200548887,2906248
569,90,0.0165067836642265,0.0437525175511837,14596655
569,90,0.000691383611410856,0.00195607310160995,1198264
569,90,0.00527180032804608,0.0331507064402103,2197110
569,90,0.00769164273515344,0.0193453524261713,2784655
569,90,0.00630887551233172,0.0162261240184307,1527459
569,90,0.0127905970439315,0.0250060837715864,1726604
569,90,0.00544464588165283,0.00107267242856324,10954248
569,90,0.0119263678789139,0.0359495803713799,10331454
569,90,0.0128770200535655,0.0147614134475589,1322859
569,90,0.00155561312567443,0.00226781703531742,14922687
570,67,0.0168997664004564,0.0287257041782141,3299912
570,67,0.145271390676498,0.101074263453484,396293
570,67,0.0318847820162773,0.107823416590691,4099691
570,67,0.0177322681993246,0.0371627472341061,5209706
570,67,0.0288877785205841,0.0335545502603054,5799257
570,67,0.172577425837517,0.199019029736519,5417605
570,67,0.0848318338394165,0.0630097538232803,15791089
570,67,0.137695640325546,0.0669052079319954,9489280
570,67,0.0318847820162773,0.0485817641019821,6137738
570,67,0.00333000323735178,0.000862484856043011,6403400
571,5,0.0514792911708355,0.205320492386818,8561273
571,5,0.0107988165691495,0.0418355204164982,12488539
571,5,0.0252218935638666,0.0275697596371174,4481082
571,5,0.0587278120219707,0.135176807641983,6849887
